AccNo,Name,ID,Contact,Email,Balance,Type
ACC-BR01-10424,,,,,0,0
ACC-BR01-38557,,,,,0,0
ACC-BR01-38138,,,,,0,0
ACC-BR01-24734,,,,,0,0
ACC-BR01-22787,,,,,0,0
ACC-BR01-38886,,,,,0,0
ACC-BR01-22124,,,,,0,0
ACC-BR01-38024,,,,,0,0
ACC-BR01-23682,,,,,0,0
ACC-BR01-35794,,,,,0,0
ACC-BR01-37800,,,,,0,0
ACC-BR01-30419,,,,,0,0
ACC-BR01-14326,,,,,0,0
ACC-BR01-16923,,,,,0,0
ACC-BR01-26406,,,,,0,0
ACC-BR01-10946,,,,,0,0
ACC-BR01-34225,,,,,0,0
ACC-BR01-27820,,,,,0,0
ACC-BR01-32565,,,,,0,0
ACC-BR01-42506,,,,,0,0
ACC-BR01-26138,,,,,0,0
ACC-BR01-37924,,,,,0,0
ACC-BR01-13941,,,,,0,0
ACC-BR01-36183,,,,,0,0
ACC-BR01-16428,,,,,0,0
ACC-BR01-23641,,,,,0,0
ACC-BR01-31836,,,,,0,0
ACC-BR01-24773,,,,,0,0
ACC-BR01-20983,,,,,0,0
ACC-BR01-39123,,,,,0,0
ACC-BR01-36274,,,,,0,0
ACC-BR01-30822,,,,,0,0
ACC-BR01-37150,,,,,0,0
ACC-BR01-12621,,,,,0,0
ACC-BR01-32020,,,,,0,0
ACC-BR01-20674,,,,,0,0
ACC-BR01-23383,,,,,0,0
ACC-BR01-22071,,,,,0,0
ACC-BR01-35701,,,,,0,0
ACC-BR01-10067,,,,,0,0
ACC-BR01-30446,,,,,0,0
ACC-BR01-34103,,,,,0,0
ACC-BR01-20632,,,,,0,0
ACC-BR01-26373,,,,,0,0
ACC-BR01-25410,,,,,0,0
ACC-BR01-23971,,,,,0,0
ACC-BR01-13208,,,,,0,0
ACC-BR01-25788,,,,,0,0
ACC-BR01-31047,,,,,0,0
ACC-BR01-17672,,,,,0,0
ACC-BR01-13153,,,,,0,0
ACC-BR01-27598,,,,,0,0
ACC-BR01-23554,,,,,0,0
ACC-BR01-23463,,,,,0,0
ACC-BR01-32564,,,,,0,0
ACC-BR01-39556,,,,,0,0
ACC-BR01-14608,,,,,0,0
ACC-BR01-16626,,,,,0,0
ACC-BR01-24358,,,,,0,0
ACC-BR01-36509,,,,,0,0
ACC-BR01-22815,,,,,0,0
ACC-BR01-10259,,,,,0,0
ACC-BR01-27809,,,,,0,0
ACC-BR01-25035,,,,,0,0
ACC-BR01-32883,,,,,0,0
ACC-BR01-15462,,,,,0,0
ACC-BR01-39650,,,,,0,0
ACC-BR01-30260,,,,,0,0
ACC-BR01-40803,,,,,0,0
ACC-BR01-22010,,,,,0,0
ACC-BR01-36729,,,,,0,0
ACC-BR01-37619,,,,,0,0
ACC-BR01-21209,,,,,0,0
ACC-BR01-32276,,,,,0,0
ACC-BR01-19149,,,,,0,0
ACC-BR01-20628,,,,,0,0
ACC-BR01-13526,,,,,0,0
ACC-BR01-17324,,,,,0,0
ACC-BR01-41109,,,,,0,0
ACC-BR01-21916,,,,,0,0
ACC-BR01-31979,,,,,0,0
ACC-BR01-24558,,,,,0,0
ACC-BR01-32864,,,,,0,0
ACC-BR01-25342,,,,,0,0
ACC-BR01-28865,,,,,0,0
ACC-BR01-10938,,,,,0,0
ACC-BR01-36365,,,,,0,0
ACC-BR01-12455,,,,,0,0
ACC-BR01-42131,,,,,0,0
ACC-BR01-24357,,,,,0,0
ACC-BR01-35412,,,,,0,0
ACC-BR01-39411,,,,,0,0
ACC-BR01-35758,,,,,0,0
ACC-BR01-12277,,,,,0,0
ACC-BR01-35644,,,,,0,0
ACC-BR01-39477,,,,,0,0
ACC-BR01-22776,,,,,0,0
ACC-BR01-11305,,,,,0,0
ACC-BR01-33954,,,,,0,0
ACC-BR01-39220,,,,,0,0
ACC-BR01-12134,,,,,0,0
ACC-BR01-29550,,,,,0,0
ACC-BR01-41145,,,,,0,0
ACC-BR01-34728,,,,,0,0
ACC-BR01-41604,,,,,0,0
ACC-BR01-15019,,,,,0,0
ACC-BR01-26756,,,,,0,0
ACC-BR01-19393,,,,,0,0
ACC-BR01-34544,,,,,0,0
ACC-BR01-41079,,,,,0,0
ACC-BR01-15453,,,,,0,0
ACC-BR01-32160,,,,,0,0
ACC-BR01-37600,,,,,0,0
ACC-BR01-20893,,,,,0,0
ACC-BR01-40050,,,,,0,0
ACC-BR01-29660,,,,,0,0
ACC-BR01-20120,,,,,0,0
ACC-BR01-32159,,,,,0,0
ACC-BR01-16707,,,,,0,0
ACC-BR01-40959,,,,,0,0
ACC-BR01-21748,,,,,0,0
ACC-BR01-39728,,,,,0,0
ACC-BR01-33829,,,,,0,0
ACC-BR01-15110,,,,,0,0
ACC-BR01-25573,,,,,0,0
ACC-BR01-31928,,,,,0,0
ACC-BR01-38850,,,,,0,0
ACC-BR01-16869,,,,,0,0
ACC-BR01-15595,,,,,0,0
ACC-BR01-13524,,,,,0,0
ACC-BR01-37014,,,,,0,0
ACC-BR01-16896,,,,,0,0
ACC-BR01-21920,,,,,0,0
ACC-BR01-19156,,,,,0,0
ACC-BR01-15731,,,,,0,0
ACC-BR01-30131,,,,,0,0
ACC-BR01-22573,,,,,0,0
ACC-BR01-16187,,,,,0,0
ACC-BR01-20479,,,,,0,0
ACC-BR01-12491,,,,,0,0
ACC-BR01-29650,,,,,0,0
ACC-BR01-24642,,,,,0,0
ACC-BR01-21809,,,,,0,0
ACC-BR01-40202,,,,,0,0
ACC-BR01-32099,,,,,0,0
ACC-BR01-28246,,,,,0,0
ACC-BR01-32215,,,,,0,0
ACC-BR01-18087,,,,,0,0
ACC-BR01-24518,,,,,0,0
ACC-BR01-37013,,,,,0,0
ACC-BR01-14099,,,,,0,0
ACC-BR01-30924,,,,,0,0
ACC-BR01-23670,,,,,0,0
ACC-BR01-39253,,,,,0,0
ACC-BR01-37593,,,,,0,0
ACC-BR01-27159,,,,,0,0
ACC-BR01-39938,,,,,0,0
ACC-BR01-39581,,,,,0,0
ACC-BR01-32883,,,,,0,0
ACC-BR01-14617,,,,,0,0
ACC-BR01-36494,,,,,0,0
ACC-BR01-19113,,,,,0,0
ACC-BR01-21757,,,,,0,0
ACC-BR01-14554,,,,,0,0
ACC-BR01-40017,,,,,0,0
ACC-BR01-14443,,,,,0,0
ACC-BR01-41961,,,,,0,0
ACC-BR01-36179,,,,,0,0
ACC-BR01-42518,,,,,0,0
ACC-BR01-20484,,,,,0,0
ACC-BR01-26492,,,,,0,0
ACC-BR01-38898,,,,,0,0
ACC-BR01-21948,,,,,0,0
ACC-BR01-12111,,,,,0,0
ACC-BR01-31056,,,,,0,0
ACC-BR01-13337,,,,,0,0
ACC-BR01-16054,,,,,0,0
ACC-BR01-19031,,,,,0,0
ACC-BR01-23248,,,,,0,0
ACC-BR01-17312,,,,,0,0
ACC-BR01-20107,,,,,0,0
ACC-BR01-24540,,,,,0,0
ACC-BR01-19903,,,,,0,0
ACC-BR01-35663,,,,,0,0
ACC-BR01-36182,,,,,0,0
ACC-BR01-15827,,,,,0,0
ACC-BR01-15537,,,,,0,0
ACC-BR01-24420,,,,,0,0
ACC-BR01-11847,,,,,0,0
ACC-BR01-21986,,,,,0,0
ACC-BR01-29583,,,,,0,0
ACC-BR01-40979,,,,,0,0
ACC-BR01-28705,,,,,0,0
ACC-BR01-41448,,,,,0,0
ACC-BR01-10264,,,,,0,0
ACC-BR01-34305,,,,,0,0
ACC-BR01-19898,,,,,0,0
ACC-BR01-22642,,,,,0,0
ACC-BR01-21083,,,,,0,0
ACC-BR01-16072,,,,,0,0
ACC-BR01-32382,,,,,0,0
ACC-BR01-28999,,,,,0,0
ACC-BR01-21822,,,,,0,0
ACC-BR01-22902,,,,,0,0
ACC-BR01-18156,,,,,0,0
ACC-BR01-31198,,,,,0,0
ACC-BR01-30458,,,,,0,0
ACC-BR01-33550,,,,,0,0
ACC-BR01-39191,,,,,0,0
ACC-BR01-14818,,,,,0,0
ACC-BR01-10652,,,,,0,0
ACC-BR01-37637,,,,,0,0
ACC-BR01-34087,,,,,0,0
ACC-BR01-10165,,,,,0,0
ACC-BR01-41861,,,,,0,0
ACC-BR01-26566,,,,,0,0
ACC-BR01-31190,,,,,0,0
ACC-BR01-11498,,,,,0,0
ACC-BR01-18411,,,,,0,0
ACC-BR01-37679,,,,,0,0
ACC-BR01-21747,,,,,0,0
ACC-BR01-15049,,,,,0,0
ACC-BR01-24407,,,,,0,0
ACC-BR01-22290,,,,,0,0
ACC-BR01-17378,,,,,0,0
ACC-BR01-11983,,,,,0,0
ACC-BR01-40997,,,,,0,0
ACC-BR01-29109,,,,,0,0
ACC-BR01-29722,,,,,0,0
ACC-BR01-34604,,,,,0,0
ACC-BR01-34567,,,,,0,0
ACC-BR01-14930,,,,,0,0
ACC-BR01-37797,,,,,0,0
ACC-BR01-26435,,,,,0,0
ACC-BR01-32642,,,,,0,0
ACC-BR01-36248,,,,,0,0
ACC-BR01-41380,,,,,0,0
ACC-BR01-27693,,,,,0,0
ACC-BR01-23663,,,,,0,0
ACC-BR01-35368,,,,,0,0
ACC-BR01-36553,,,,,0,0
ACC-BR01-20790,,,,,0,0
ACC-BR01-41083,,,,,0,0
ACC-BR01-40216,,,,,0,0
ACC-BR01-11738,,,,,0,0
ACC-BR01-25695,,,,,0,0
ACC-BR01-38568,,,,,0,0
ACC-BR01-24179,,,,,0,0
ACC-BR01-29749,,,,,0,0
ACC-BR01-19162,,,,,0,0
ACC-BR01-15049,,,,,0,0
ACC-BR01-15799,,,,,0,0
ACC-BR01-35398,,,,,0,0
ACC-BR01-38289,,,,,0,0
ACC-BR01-29194,,,,,0,0
ACC-BR01-32342,,,,,0,0
ACC-BR01-11283,,,,,0,0
ACC-BR01-42400,,,,,0,0
ACC-BR01-37734,,,,,0,0
ACC-BR01-33846,,,,,0,0
ACC-BR01-22961,,,,,0,0
ACC-BR01-24790,,,,,0,0
ACC-BR01-16431,,,,,0,0
ACC-BR01-28722,,,,,0,0
ACC-BR01-22476,,,,,0,0
ACC-BR01-13880,,,,,0,0
ACC-BR01-35978,,,,,0,0
ACC-BR01-35990,,,,,0,0
ACC-BR01-32803,,,,,0,0
ACC-BR01-29310,,,,,0,0
ACC-BR01-30704,,,,,0,0
ACC-BR01-35238,,,,,0,0
ACC-BR01-25097,,,,,0,0
ACC-BR01-25748,,,,,0,0
ACC-BR01-13742,,,,,0,0
ACC-BR01-35352,,,,,0,0
ACC-BR01-13029,,,,,0,0
ACC-BR01-21018,,,,,0,0
ACC-BR01-17765,,,,,0,0
ACC-BR01-32661,,,,,0,0
ACC-BR01-36531,,,,,0,0
ACC-BR01-15332,,,,,0,0
ACC-BR01-23435,,,,,0,0
ACC-BR01-22333,,,,,0,0
ACC-BR01-34945,,,,,0,0
ACC-BR01-29307,,,,,0,0
ACC-BR01-39400,,,,,0,0
ACC-BR01-30240,,,,,0,0
ACC-BR01-35571,,,,,0,0
ACC-BR01-31386,,,,,0,0
ACC-BR01-38938,,,,,0,0
ACC-BR01-34245,,,,,0,0
ACC-BR01-35007,,,,,0,0
ACC-BR01-16818,,,,,0,0
ACC-BR01-15378,,,,,0,0
ACC-BR01-37031,,,,,0,0
ACC-BR01-32050,,,,,0,0
ACC-BR01-41574,,,,,0,0
ACC-BR01-25237,,,,,0,0
ACC-BR01-28338,,,,,0,0
ACC-BR01-15529,,,,,0,0
ACC-BR01-14608,,,,,0,0
ACC-BR01-22459,,,,,0,0
ACC-BR01-33227,,,,,0,0
ACC-BR01-38169,,,,,0,0
ACC-BR01-34874,,,,,0,0
ACC-BR01-40819,,,,,0,0
ACC-BR01-16965,,,,,0,0
ACC-BR01-16007,,,,,0,0
ACC-BR01-27942,,,,,0,0
ACC-BR01-36350,,,,,0,0
ACC-BR01-39789,,,,,0,0
ACC-BR01-39824,,,,,0,0
ACC-BR01-25671,,,,,0,0
ACC-BR01-12399,,,,,0,0
ACC-BR01-38911,,,,,0,0
ACC-BR01-18915,,,,,0,0
ACC-BR01-40389,,,,,0,0
ACC-BR01-34097,,,,,0,0
ACC-BR01-24239,,,,,0,0
ACC-BR01-33474,,,,,0,0
ACC-BR01-25085,,,,,0,0
ACC-BR01-33921,,,,,0,0
ACC-BR01-32417,,,,,0,0
ACC-BR01-19333,,,,,0,0
ACC-BR01-17919,,,,,0,0
ACC-BR01-30960,,,,,0,0
ACC-BR01-35825,,,,,0,0
ACC-BR01-30231,,,,,0,0
ACC-BR01-12302,,,,,0,0
ACC-BR01-10211,,,,,0,0
ACC-BR01-35884,,,,,0,0
ACC-BR01-29047,,,,,0,0
ACC-BR01-11299,,,,,0,0
ACC-BR01-18962,,,,,0,0
ACC-BR01-13012,,,,,0,0
ACC-BR01-27191,,,,,0,0
ACC-BR01-36970,,,,,0,0
ACC-BR01-21516,,,,,0,0
ACC-BR01-28128,,,,,0,0
ACC-BR01-15105,,,,,0,0
ACC-BR01-29124,,,,,0,0
ACC-BR01-36529,,,,,0,0
ACC-BR01-16954,,,,,0,0
ACC-BR01-11533,,,,,0,0
ACC-BR01-26691,,,,,0,0
ACC-BR01-32695,,,,,0,0
ACC-BR01-30783,,,,,0,0
ACC-BR01-34988,,,,,0,0
ACC-BR01-41905,,,,,0,0
ACC-BR01-41510,,,,,0,0
ACC-BR01-38979,,,,,0,0
ACC-BR01-30145,,,,,0,0
ACC-BR01-20490,,,,,0,0
ACC-BR01-28380,,,,,0,0
ACC-BR01-14090,,,,,0,0
ACC-BR01-11330,,,,,0,0
ACC-BR01-18941,,,,,0,0
ACC-BR01-13578,,,,,0,0
ACC-BR01-37456,,,,,0,0
ACC-BR01-29883,,,,,0,0
ACC-BR01-41839,,,,,0,0
ACC-BR01-17076,,,,,0,0
ACC-BR01-32066,,,,,0,0
ACC-BR01-30923,,,,,0,0
ACC-BR01-30711,,,,,0,0
ACC-BR01-23861,,,,,0,0
ACC-BR01-40195,,,,,0,0
ACC-BR01-25510,,,,,0,0
ACC-BR01-37219,,,,,0,0
ACC-BR01-35256,,,,,0,0
ACC-BR01-29992,,,,,0,0
ACC-BR01-21137,,,,,0,0
ACC-BR01-23602,,,,,0,0
ACC-BR01-42432,,,,,0,0
ACC-BR01-17468,,,,,0,0
ACC-BR01-38249,,,,,0,0
ACC-BR01-11289,,,,,0,0
ACC-BR01-20386,,,,,0,0
ACC-BR01-12348,,,,,0,0
ACC-BR01-16156,,,,,0,0
ACC-BR01-20606,,,,,0,0
ACC-BR01-40710,,,,,0,0
ACC-BR01-17180,,,,,0,0
ACC-BR01-34350,,,,,0,0
ACC-BR01-30975,,,,,0,0
ACC-BR01-11626,,,,,0,0
ACC-BR01-14145,,,,,0,0
ACC-BR01-30006,,,,,0,0
ACC-BR01-27116,,,,,0,0
ACC-BR01-28318,,,,,0,0
ACC-BR01-37893,,,,,0,0
ACC-BR01-27487,,,,,0,0
ACC-BR01-32969,,,,,0,0
ACC-BR01-22857,,,,,0,0
ACC-BR01-39478,,,,,0,0
ACC-BR01-27879,,,,,0,0
ACC-BR01-35021,,,,,0,0
ACC-BR01-24418,,,,,0,0
ACC-BR01-32919,,,,,0,0
ACC-BR01-17315,,,,,0,0
ACC-BR01-24422,,,,,0,0
ACC-BR01-14008,,,,,0,0
ACC-BR01-32861,,,,,0,0
ACC-BR01-28537,,,,,0,0
ACC-BR01-26802,,,,,0,0
ACC-BR01-29035,,,,,0,0
ACC-BR01-12723,,,,,0,0
ACC-BR01-26340,,,,,0,0
ACC-BR01-21511,,,,,0,0
ACC-BR01-26224,,,,,0,0
ACC-BR01-14391,,,,,0,0
ACC-BR01-10100,,,,,0,0
ACC-BR01-12397,,,,,0,0
ACC-BR01-27153,,,,,0,0
ACC-BR01-16251,,,,,0,0
ACC-BR01-38475,,,,,0,0
ACC-BR01-20766,,,,,0,0
ACC-BR01-22123,,,,,0,0
ACC-BR01-18308,,,,,0,0
ACC-BR01-12449,,,,,0,0
ACC-BR01-33293,,,,,0,0
ACC-BR01-25582,,,,,0,0
ACC-BR01-16719,,,,,0,0
ACC-BR01-35905,,,,,0,0
ACC-BR01-35932,,,,,0,0
ACC-BR01-20961,,,,,0,0
ACC-BR01-31559,,,,,0,0
ACC-BR01-10250,,,,,0,0
ACC-BR01-35556,,,,,0,0
ACC-BR01-24283,,,,,0,0
ACC-BR01-24016,,,,,0,0
ACC-BR01-35952,,,,,0,0
ACC-BR01-36529,,,,,0,0
ACC-BR01-37195,,,,,0,0
ACC-BR01-30655,,,,,0,0
ACC-BR01-15352,,,,,0,0
ACC-BR01-37764,,,,,0,0
ACC-BR01-20464,,,,,0,0
ACC-BR01-23263,,,,,0,0
ACC-BR01-29631,,,,,0,0
ACC-BR01-17487,,,,,0,0
ACC-BR01-19042,,,,,0,0
ACC-BR01-18542,,,,,0,0
ACC-BR01-15347,,,,,0,0
ACC-BR01-36796,,,,,0,0
ACC-BR01-12680,,,,,0,0
ACC-BR01-11678,,,,,0,0
ACC-BR01-18520,,,,,0,0
ACC-BR01-36007,,,,,0,0
ACC-BR01-16415,,,,,0,0
ACC-BR01-28693,,,,,0,0
ACC-BR01-10436,,,,,0,0
ACC-BR01-11935,,,,,0,0
ACC-BR01-37689,,,,,0,0
ACC-BR01-35438,,,,,0,0
ACC-BR01-18852,,,,,0,0
ACC-BR01-19049,,,,,0,0
ACC-BR01-21180,,,,,0,0
ACC-BR01-30901,,,,,0,0
ACC-BR01-17525,,,,,0,0
ACC-BR01-27260,,,,,0,0
ACC-BR01-10719,,,,,0,0
ACC-BR01-29934,,,,,0,0
ACC-BR01-32843,,,,,0,0
ACC-BR01-29574,,,,,0,0
ACC-BR01-36785,,,,,0,0
ACC-BR01-33679,,,,,0,0
ACC-BR01-41550,,,,,0,0
ACC-BR01-39142,,,,,0,0
ACC-BR01-24465,,,,,0,0
ACC-BR01-20481,,,,,0,0
ACC-BR01-20024,,,,,0,0
ACC-BR01-41264,,,,,0,0
ACC-BR01-16823,,,,,0,0
ACC-BR01-22819,,,,,0,0
ACC-BR01-14041,,,,,0,0
ACC-BR01-31405,,,,,0,0
ACC-BR01-25513,,,,,0,0
ACC-BR01-28103,,,,,0,0
ACC-BR01-32403,,,,,0,0
ACC-BR01-40920,,,,,0,0
ACC-BR01-32967,,,,,0,0
ACC-BR01-31028,,,,,0,0
ACC-BR01-26590,,,,,0,0
ACC-BR01-19426,,,,,0,0
ACC-BR01-15040,,,,,0,0
ACC-BR01-40866,,,,,0,0
ACC-BR01-21957,,,,,0,0
ACC-BR01-32558,,,,,0,0
ACC-BR01-16922,,,,,0,0
ACC-BR01-10945,,,,,0,0
ACC-BR01-40039,,,,,0,0
ACC-BR01-21462,,,,,0,0
ACC-BR01-20142,,,,,0,0
ACC-BR01-17970,,,,,0,0
ACC-BR01-41335,,,,,0,0
ACC-BR01-41508,,,,,0,0
ACC-BR01-26666,,,,,0,0
ACC-BR01-35852,,,,,0,0
ACC-BR01-19644,,,,,0,0
ACC-BR01-29978,,,,,0,0
ACC-BR01-32397,,,,,0,0
ACC-BR01-24920,,,,,0,0
ACC-BR01-18577,,,,,0,0
ACC-BR01-20203,,,,,0,0
ACC-BR01-21167,,,,,0,0
ACC-BR01-41622,,,,,0,0
ACC-BR01-37478,,,,,0,0
ACC-BR01-15743,,,,,0,0
ACC-BR01-11958,,,,,0,0
ACC-BR01-41014,,,,,0,0
ACC-BR01-23358,,,,,0,0
ACC-BR01-16115,,,,,0,0
ACC-BR01-28322,,,,,0,0
ACC-BR01-27423,,,,,0,0
ACC-BR01-14383,,,,,0,0
ACC-BR01-30230,,,,,0,0
ACC-BR01-22722,,,,,0,0
ACC-BR01-28972,,,,,0,0
ACC-BR01-41701,,,,,0,0
ACC-BR01-12014,,,,,0,0
ACC-BR01-17980,,,,,0,0
ACC-BR01-27050,,,,,0,0
ACC-BR01-18976,,,,,0,0
ACC-BR01-13105,,,,,0,0
ACC-BR01-39817,,,,,0,0
ACC-BR01-37339,,,,,0,0
ACC-BR01-12849,,,,,0,0
ACC-BR01-28364,,,,,0,0
ACC-BR01-37110,,,,,0,0
ACC-BR01-14710,,,,,0,0
ACC-BR01-42368,,,,,0,0
ACC-BR01-25695,,,,,0,0
ACC-BR01-19237,,,,,0,0
ACC-BR01-40740,,,,,0,0
ACC-BR01-29961,,,,,0,0
ACC-BR01-29119,,,,,0,0
ACC-BR01-17290,,,,,0,0
ACC-BR01-40197,,,,,0,0
ACC-BR01-35035,,,,,0,0
ACC-BR01-25714,,,,,0,0
ACC-BR01-33006,,,,,0,0
ACC-BR01-42281,,,,,0,0
ACC-BR01-16536,,,,,0,0
ACC-BR01-24119,,,,,0,0
ACC-BR01-40944,,,,,0,0
ACC-BR01-36376,,,,,0,0
ACC-BR01-41976,,,,,0,0
ACC-BR01-35196,,,,,0,0
ACC-BR01-11135,,,,,0,0
ACC-BR01-12107,,,,,0,0
ACC-BR01-25413,,,,,0,0
ACC-BR01-40422,,,,,0,0
ACC-BR01-17761,,,,,0,0
ACC-BR01-19888,,,,,0,0
ACC-BR01-10208,,,,,0,0
ACC-BR01-13517,,,,,0,0
ACC-BR01-40623,,,,,0,0
ACC-BR01-22569,,,,,0,0
ACC-BR01-13499,,,,,0,0
ACC-BR01-28092,,,,,0,0
ACC-BR01-16470,,,,,0,0
ACC-BR01-29709,,,,,0,0
ACC-BR01-22237,,,,,0,0
ACC-BR01-25333,,,,,0,0
ACC-BR01-41879,,,,,0,0
ACC-BR01-22950,,,,,0,0
ACC-BR01-42465,,,,,0,0
ACC-BR01-28139,,,,,0,0
ACC-BR01-39560,,,,,0,0
ACC-BR01-32946,,,,,0,0
ACC-BR01-38007,,,,,0,0
ACC-BR01-15303,,,,,0,0
ACC-BR01-34962,,,,,0,0
ACC-BR01-40162,,,,,0,0
ACC-BR01-20705,,,,,0,0
ACC-BR01-12772,,,,,0,0
ACC-BR01-27377,,,,,0,0
ACC-BR01-27230,,,,,0,0
ACC-BR01-30071,,,,,0,0
ACC-BR01-41555,,,,,0,0
ACC-BR01-12599,,,,,0,0
ACC-BR01-19007,,,,,0,0
ACC-BR01-35108,,,,,0,0
ACC-BR01-20567,,,,,0,0
ACC-BR01-26057,,,,,0,0
ACC-BR01-12051,,,,,0,0
ACC-BR01-20455,,,,,0,0
ACC-BR01-17642,,,,,0,0
ACC-BR01-42592,,,,,0,0
ACC-BR01-22876,,,,,0,0
ACC-BR01-27475,,,,,0,0
ACC-BR01-29494,,,,,0,0
ACC-BR01-27785,,,,,0,0
ACC-BR01-25618,,,,,0,0
ACC-BR01-19216,,,,,0,0
ACC-BR01-11549,,,,,0,0
ACC-BR01-42533,,,,,0,0
ACC-BR01-41245,,,,,0,0
ACC-BR01-27992,,,,,0,0
ACC-BR01-26546,,,,,0,0
ACC-BR01-40426,,,,,0,0
ACC-BR01-17883,,,,,0,0
ACC-BR01-28538,,,,,0,0
ACC-BR01-20413,,,,,0,0
ACC-BR01-13280,,,,,0,0
ACC-BR01-26528,,,,,0,0
ACC-BR01-28250,,,,,0,0
ACC-BR01-11835,,,,,0,0
ACC-BR01-26086,,,,,0,0
ACC-BR01-18481,,,,,0,0
